,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,210.88,203.75,192.83,204.3,189.49,195.54,195.93,197.97,197.5,197.5,195.7,194.29,194.75,194.65,194.65,196.56,195.83,195.83,195.87,195.8
1,-198.49,-195.47,-186.35,-195.85,-183.25,-188.24,-188.54,-190.45,-189.91,-189.91,-188.46,-187.2,-187.76,-187.55,-187.55,-189.16,-188.47,-188.47,-188.6,-188.5
2,-22.918,-21.852,-19.95,-21.962,-19.76,-20.78,-20.927,-21.062,-21.128,-21.128,-20.78,-20.634,-20.534,-20.645,-20.645,-20.943,-20.899,-20.899,-20.808,-20.842
3,-0.23307,-0.2179,-0.19177,-0.23148,-0.18866,-0.2121,-0.20928,-0.21262,-0.2116,-0.2116,-0.21197,-0.20402,-0.2017,-0.20734,-0.20734,-0.21199,-0.21222,-0.21222,-0.20738,-0.20877
4,-0.00011714,-0.0001009,-9.0488e-05,-0.00011584,-8.6569e-05,-0.00010444,-0.00010054,-0.00010352,-0.00010509,-0.00010509,-0.00010439,-9.8139e-05,-9.6799e-05,-0.0001022,-0.0001022,-0.00010418,-0.00010405,-0.00010405,-0.00010029,-0.00010105
5,1.4724,1.5623,1.5274,1.568,1.5741,1.5346,1.5421,1.5506,1.5481,1.5481,1.5714,1.5497,1.5514,1.5596,1.5596,1.5585,1.5587,1.5587,1.558,1.5587
6,1.1409,0.90527,1.0205,1.0104,0.99,1.0146,1.0142,1.004,1.0001,1.0001,0.98242,1.0063,1.0015,0.99273,0.99273,0.99647,0.99507,0.99507,0.99676,0.99511
7,0.0312,0.030585,0.031044,0.040057,0.03634,0.031129,0.030209,0.0308,0.032353,0.032353,0.036055,0.030842,0.031564,0.033593,0.033593,0.033866,0.033545,0.033545,0.03354,0.033496
8,0.0099895,0.0054843,0.0056004,0.0020135,0.0036845,0.0059303,0.0063712,0.0059246,0.0052927,0.0052927,0.003664,0.0059129,0.0055922,0.0046991,0.0046991,0.0045571,0.0046753,0.0046753,0.0046669,0.0046678
9,-1.2397e-05,3.3202e-05,-1.1798e-05,-5.9809e-05,-9.4035e-06,-5.1926e-06,-2.2636e-05,1.3088e-05,-8.5705e-06,-8.5705e-06,-1.2591e-05,2.0545e-05,5.4443e-06,-1.0259e-05,-1.0259e-05,-9.1221e-06,-3.9646e-06,-3.9646e-06,3.6032e-06,1.8198e-06
10,2.7092e-06,3.7656e-06,3.2612e-05,3.5737e-05,,,5.4334e-06,3.8523e-06,,,1.0494e-06,2.0891e-06,,1.3187e-06,1.3187e-06,,,,,
11,,,4.364e-06,-1.1443e-06,,,,,,,,,,,,,,,,
