,0,1,2
0,518.61,524.85,524.1
1,-584.64,-590.12,-589.41
2,-62.421,-63.538,-63.466
3,-2.4304,-2.5146,-2.5312
4,-0.073037,-0.074643,-0.075185
5,5.6695,5.5374,5.4803
6,1.6327,1.7762,1.7938
7,0.022808,0.018893,0.020828
8,0.0039258,0.0040044,0.0027235
9,-8.5379e-05,-0.00015549,-0.00013369
10,-0.00010427,-4.2622e-05,-1.3785e-05
11,5.0867e-06,1.1415e-05,1.5269e-05
12,,1.464e-06,7.6738e-07
